sku,upc,name,brand,department,category,sub_category,collection,size,color_name,color_hex,material,fit_type,cost,retail_price,msrp,short_description,long_description,image_uri,alt_text
AUTO-001,840001000001,VoltDrive EV Performance Tire,TerraGrip,Automotive,Tires,EV Performance,ElectriQ Series,"",Black,"",Silica-Infused Compound,"",120,289.99,319.99,"Ultra-low rolling resistance EV tire with 50,000 mile treadlife warranty.","VoltDrive is engineered specifically for electric vehicles with a silica-infused compound that minimizes rolling resistance for maximum range while delivering exceptional wet and dry grip. Noise-dampening foam insert for a whisper-quiet cabin. 50,000 mile warranty.",https://storage.googleapis.com/<your-artifacts-bucket>/products/AUTO-001.png,"Ultra-low rolling resistance EV tire with 50,000 mile treadlife warranty."
FIT-001,880001000001,PowerRing Smart Fitness Ring,VitaBand,Fitness,Wearables,Smart Rings,Health360,"",Stealth Black,"",Titanium,"",95,299.99,349.99,"Titanium smart ring tracking sleep, heart rate, SpO2, and body temperature.","PowerRing packs advanced health sensors into a sleek titanium ring. Tracks sleep stages, continuous heart rate, blood oxygen (SpO2), skin temperature, and activity. 7-day battery life, water resistant to 100m. No subscription required. Compatible with Apple Health and Google Fit.",https://storage.googleapis.com/<your-artifacts-bucket>/products/FIT-001.png,"Titanium smart ring tracking sleep, heart rate, SpO2, and body temperature."
HOME-002,850001000002,ErgoFlow Mesh Office Chair,DeskPro,Home,Furniture,Office Chairs,Executive Comfort,"",Graphite,"",Breathable Mesh + Aluminum,"",180,449.99,499.99,"Ergonomic mesh office chair with adjustable lumbar, 4D armrests, and headrest.","ErgoFlow features a full breathable mesh back, adjustable lumbar support, 4D armrests, adjustable headrest, and a synchronized tilt mechanism. Polished aluminum base with smooth-rolling casters. Supports up to 300 lbs. 12-year warranty. Designed for 8+ hour work sessions.",https://storage.googleapis.com/<your-artifacts-bucket>/products/HOME-002.png,"Ergonomic mesh office chair with adjustable lumbar, 4D armrests, and headrest."
AUTO-002,840001000002,LuxeShield Ceramic Coating Kit,AutoLux,Automotive,Car Care,Coatings,Pro Detailer,"",Crystal Clear,"",SiO2 Ceramic Polymer,"",28,79.99,89.99,Professional-grade ceramic coating with 3-year hydrophobic protection.,"LuxeShield provides a professional-grade 9H ceramic coating that bonds to your vehicle's paint for up to 3 years. Extreme hydrophobic properties, UV protection, chemical resistance, and a deep mirror-like gloss. Kit includes prep spray, coating, applicators, and microfiber cloths.",https://storage.googleapis.com/<your-artifacts-bucket>/products/AUTO-002.png,Professional-grade ceramic coating with 3-year hydrophobic protection.
FOOD-001,830001000001,Heritage Reserve Single Malt Whisky,GlenCroft,Food & Beverage,Spirits,Whisky,Distiller's Reserve,"",Amber Gold,"",12-Year Oak Aged,"",35,89.99,99.99,"12-year aged single malt Scotch whisky with notes of honey, vanilla, and oak.","Heritage Reserve is a 12-year single malt distilled in copper pot stills and aged in American oak ex-bourbon casks. Tasting notes: golden honey, vanilla cream, toasted oak, with a long warm finish. 43% ABV. Non-chill filtered for maximum flavor.",https://storage.googleapis.com/<your-artifacts-bucket>/products/FOOD-001.png,"12-year aged single malt Scotch whisky with notes of honey, vanilla, and oak."
634522,850061234567,Classic Leather Ballet Flats,Aurum,Women,Shoes,Footwear,Spring Bloom Collection,7.5,Lavender,#C8BFE7,Leather,Classic,42.5,89.99,110,"Timeless and versatile, these lavender ballet flats are crafted from supple leather for a comfortable, classic look.","Discover effortless elegance with our Classic Leather Ballet Flats. Made from premium, soft leather in a delicate lavender shade, these shoes are the epitome of comfort and style. Featuring a traditional round toe, a dainty bow accent, and a cushioned footbed for all-day wear. The flexible sole provides durability and ease of movement. These flats are a perfect addition to any wardrobe, easily pairing with casual jeans or a formal dress.",https://storage.googleapis.com/<your-artifacts-bucket>/products/634522.png,"A pair of women's lavender leather ballet flats with a round toe and a delicate bow detail, on a white background."
192831,849302175643,Two-Tone Cap-Toe Ballet Flats,Modern Muse,Women,Footwear,Flats,Everyday Elegance,7.5,Beige/Black,#DDCDBA,Leather,Regular,42.5,89.99,110,"Classic and chic, these leather ballet flats feature a timeless two-tone design with a comfortable fit for all-day wear.","Step into timeless style with our Two-Tone Cap-Toe Ballet Flats. Expertly crafted from soft, genuine leather, these elegant flats feature a sophisticated beige body complemented by a classic black cap toe. The slip-on design ensures easy wear, while the cushioned insole and minimal heel provide superior comfort from morning to night. Perfect for pairing with workwear or casual outfits, these versatile flats are a must-have addition to any wardrobe.",https://storage.googleapis.com/<your-artifacts-bucket>/products/192831.png,"A pair of women's beige leather ballet flats with a contrasting black cap toe, shown on a white background."
345745,850067123456,Lasocki Strappy Kitten Heel Sandal,Neon & Co.,Women,Footwear,Heels,Spring Summer 2024,7.5,Lilac,#C8A2C8,Faux Leather,Regular,28.5,59.99,75,"Elegant lilac kitten heel sandals featuring delicate criss-cross straps, a modern square toe, and adjustable ankle support for a chic and comfortable fit.","Step into sophistication with our Lasocki Strappy Kitten Heel Sandal. Crafted in a lovely lilac faux leather, these sandals offer both style and comfort. The design features multiple delicate straps that artfully cross the foot, leading to two adjustable ankle straps with silver-tone buckles for a secure fit. A modest kitten heel provides a subtle lift, perfect for all-day wear, while the contemporary open square toe adds a modern touch. These versatile heels are perfect for dressing up any outfit, from casual daytime looks to elegant evening ensembles.",https://storage.googleapis.com/<your-artifacts-bucket>/products/345745.png,Side view of a lilac strappy kitten heel sandal with a square toe and adjustable ankle straps.
39288,196852123456,Quilted Leather Espadrille Slip-On,Modern Muse,Women,Apparel,Footwear,Summer Seaside Collection,8,Cream,#FFFDD0,"Leather, Jute",Regular,55.75,119.99,145,"Effortless style meets comfort in our quilted leather espadrilles, perfect for any sunny day.","Step into summer with our beautifully crafted Quilted Leather Espadrille Slip-Ons. Featuring a soft, diamond-quilted leather upper in a versatile cream color and a classic jute-wrapped midsole. The durable rubber outsole provides traction and longevity, while the slip-on design ensures easy wear. A subtle pull-tab at the heel adds a functional touch. These espadrilles are the perfect blend of casual elegance, ideal for pairing with everything from sundresses to your favorite jeans.",https://storage.googleapis.com/<your-artifacts-bucket>/products/39288.png,Side view of a women's cream quilted leather espadrille with a jute sole.
734222,850059382147,Chunky Platform Fisherman Sandal,Maison Onyx,Women,Apparel,Footwear,Summer City Collection,8,Black,#000000,Faux Leather,Regular,38.5,74.99,85,"A modern take on a classic, these black fisherman sandals feature a bold platform lug sole and a comfortable woven design.","Step into contemporary style with our Chunky Platform Fisherman Sandals. These sandals feature a classic caged upper crafted from smooth black faux leather, complete with an adjustable ankle strap for a secure and comfortable fit. The standout feature is the thick, treaded platform sole that adds significant height and a modern, edgy look while ensuring all-day comfort and stability. Perfect for pairing with summer dresses, shorts, or your favorite jeans, these sandals are a versatile must-have for any fashion-forward wardrobe.",https://storage.googleapis.com/<your-artifacts-bucket>/products/734222.png,"A black platform fisherman sandal with a chunky lug sole and a woven caged upper, shown from the side against a white background."
190222,850055109876,Women's Classic Leather Riding Boot,Maison Onyx,Women,Apparel,Footwear,Equestrian Elegance,8.5,Cognac,#6F4E37,Full-Grain Leather,Regular,145.5,279.99,349.99,"Timeless elegance meets modern comfort in these classic leather riding boots, perfect for any occasion.","Crafted from premium full-grain leather, our Classic Leather Riding Boots offer a sophisticated silhouette and enduring style. These knee-high boots feature a sleek design with a full-length side zipper for a secure and comfortable fit. The rich cognac color adds a touch of warmth and versatility to your wardrobe. With a durable sole and a slight heel, they provide both comfort for all-day wear and a flattering lift. Perfect for pairing with skinny jeans, leggings, or skirts for a polished, equestrian-inspired look.",https://storage.googleapis.com/<your-artifacts-bucket>/products/190222.png,"A pair of women's brown leather knee-high riding boots, shown from the front on a white background."
724354,840342198765,Black Platform Chelsea Boots,Maison Onyx,Women,Apparel,Footwear,Urban Explorer,8.5,Black,#000000,Faux Leather,Regular,48.5,99.99,125,Step up your style with these bold and edgy platform Chelsea boots. Featuring a chunky heel and lug sole for a commanding presence.,"Introducing our Black Platform Chelsea Boots, the ultimate statement piece for any modern wardrobe. These boots are crafted from high-quality faux leather and feature the classic Chelsea boot silhouette with elastic side gores and pull tabs for easy on-and-off wear. The dramatic chunky platform and block heel provide significant lift and an on-trend look, while the rugged lug sole ensures excellent traction and durability. Perfect for pairing with jeans, skirts, or dresses, these boots add an instant touch of cool to any outfit.",https://storage.googleapis.com/<your-artifacts-bucket>/products/724354.png,"A pair of women's black platform Chelsea boots with a chunky lug sole and block heel, viewed from the side on a white background."
222333,196942123456,Suede Platform Block Heel Sandal,Aurum,Women,Footwear,Sandals,Summer 2024,8.5,Taupe,#C0B2A4,Suede,Regular,48.5,99.99,125,"Elevate your look with these chic platform sandals, crafted from soft taupe suede. Featuring a bold stacked block heel and a secure ankle strap, they offer both style and comfort.","Make a statement with our Suede Platform Block Heel Sandal. Designed with a comfortable open-toe silhouette and a soft suede upper, these sandals are perfect for any warm-weather occasion. The sturdy platform and high block heel have a stylish wood-grain finish, providing significant lift without sacrificing stability. An adjustable ankle strap with a classic gold-tone buckle ensures a secure and customized fit. These versatile sandals pair beautifully with dresses, skirts, or your favorite pair of jeans.",https://storage.googleapis.com/<your-artifacts-bucket>/products/222333.png,"A women's taupe suede platform sandal with a stacked wooden block heel and an ankle strap with a gold buckle, shown from the side against a white background."
663452,789012345678,White Chunky Platform Sneaker,Neon & Co.,Women's,Footwear,Sneakers,Urban Edge,8.5,White,#FFFFFF,Faux Leather,Regular,38.5,79.99,95,"Elevate your look with these bold, all-white chunky platform sneakers, perfect for adding a trendy, retro-inspired touch to any outfit.","Step into the spotlight with our White Chunky Platform Sneakers. These shoes feature a thick, sculpted platform sole that provides both height and a dramatic silhouette. The upper is crafted from smooth, durable faux leather with stitched panel details for a classic athletic look. A padded collar and tongue, along with a secure lace-up closure, ensure a comfortable and supportive fit. These versatile sneakers are the perfect statement piece to pair with jeans, skirts, or dresses for a modern, fashion-forward style.",https://storage.googleapis.com/<your-artifacts-bucket>/products/663452.png,"Side view of a women's all-white chunky platform sneaker with a thick, sculpted sole and classic lace-up front."
734522,850024567890,Metallic Silver Pointed-Toe Knee-High Boot,Maison Onyx,Women,Footwear,Boots,Cosmic Glam,8.5,Silver,#C0C0C0,Metallic Faux Leather,Slim Fit,110.5,220,275,"Make a bold statement with these striking knee-high boots, crafted in a high-shine metallic silver finish for a futuristic and glamorous look.","Step into the spotlight with our Metallic Silver Pointed-Toe Knee-High Boots. Designed for the fashion-forward individual, these boots feature a sleek, liquid-metal appearance that is sure to turn heads. The sharp pointed toe and slender stiletto heel create an elegant and powerful silhouette. Crafted from a high-quality metallic faux leather, they offer a comfortable, form-fitting design that hugs the calf. Perfect for evening events, parties, or adding a dose of high-fashion drama to any outfit.",https://storage.googleapis.com/<your-artifacts-bucket>/products/734522.png,"A side profile of a women's knee-high boot with a metallic silver finish, a high stiletto heel, and a pointed toe, set against a white background."
191921,840289901234,Pearl Embellished Satin Slingback Pumps,Maison Onyx,Women,Footwear,Heels,Evening Elegance,8.5,Black,#000000,Satin,Standard,280.5,450,495,"An elegant black satin slingback pump featuring a pointed toe and a stunning pearl-embellished strap, perfect for formal occasions.","Step into sophistication with our Pearl Embellished Satin Slingback Pumps. Crafted from luxurious black satin, these shoes boast a timeless pointed-toe design and a sleek stiletto heel. The defining feature is the exquisite strap across the instep, adorned with a cascade of lustrous white pearls that adds a touch of glamour and refinement. The adjustable slingback ensures a secure and comfortable fit, making these heels an ideal choice for weddings, galas, or any event where you want to make a memorable impression. The interior is lined with supple leather for ultimate comfort.",https://storage.googleapis.com/<your-artifacts-bucket>/products/191921.png,A black satin pointed-toe slingback pump with a stiletto heel and a decorative strap across the instep embellished with white pearls of various sizes.
473843,810155047384,Classic Pointed Toe Stiletto Pumps,Maison Onyx,Women,Footwear,Heels,Signature Styles,8.5,Black,#000000,Patent Leather,Standard,42.5,95,120,"A timeless and elegant black stiletto pump, crafted from glossy patent leather with a classic pointed toe. The perfect heel for any formal or professional occasion.","Step into sophistication with our Classic Pointed Toe Stiletto Pumps. These beautifully crafted heels feature a high-shine patent leather finish that exudes luxury. The sleek, pointed toe design elongates the leg for a flattering silhouette, while the slender stiletto heel provides a confident lift. Designed for both style and comfort, these versatile pumps are a wardrobe essential, seamlessly transitioning from boardroom meetings to evening cocktails. Pair them with a tailored suit for a powerful professional look or with your favorite dress for a night out.",https://storage.googleapis.com/<your-artifacts-bucket>/products/473843.png,"A single classic black patent leather stiletto pump with a pointed toe, viewed from the side against a white background."
634523,196013548721,Satin Halter Neck Crop Top,Maison Onyx,Women,Apparel,Top,Evening Allure,M,Royal Blue,#4169E1,Satin,Fitted,28.5,65,78,"A stunning royal blue satin halter neck crop top, designed with a sleek high neckline and a fitted silhouette for a sophisticated look.","Crafted from luxurious, high-sheen satin, this royal blue top is a true statement piece. It features an elegant halter neckline that fastens with a discreet zipper at the back, a draped cowl detail at the front, and a cropped length that pairs perfectly with high-waisted skirts or trousers. The fitted design accentuates your shape, making it an ideal choice for a night out, a special occasion, or any event where you want to turn heads.",https://storage.googleapis.com/<your-artifacts-bucket>/products/634523.png,"Front view of a royal blue satin halter neck crop top with a high neckline and fitted silhouette, shown on a white background."
109244,198765432109,Breton Stripe Long Sleeve Top with Button Cuffs,Modern Muse,Women,Apparel,Top,Modern Nautical,M,Navy/Cream,#0F1A2D,Cotton Blend,Regular,78,185,185,A timeless long-sleeve top featuring classic navy and cream Breton stripes. Elevated with distinctive wide cuffs adorned with decorative gold-tone buttons.,"Embrace classic Parisian chic with this elegant Breton stripe top. Crafted from a soft and comfortable knit fabric, this piece features a timeless crew neckline and long sleeves. The design is elevated by sophisticated wide cuffs, each detailed with a row of polished gold-tone buttons. Its versatile navy and cream pattern makes it a perfect staple for any wardrobe, easily paired with jeans for a casual look or trousers for a more polished ensemble.",https://storage.googleapis.com/<your-artifacts-bucket>/products/109244.png,"Women's navy and cream striped long-sleeve top with gold button details on the cuffs, viewed from the front."
394855,196428394855,Pleated Plaid Mini Skirt,Neon & Co.,Women,Apparel,Bottom,Campus Classics,Medium,Red Tartan,#D22B2B,Polyester Blend,A-Line,18.5,39.99,48,"A classic and preppy pleated mini skirt featuring a vibrant red, black, and white tartan plaid pattern.","Channel a timeless academic look with our Pleated Plaid Mini Skirt. This skirt features a classic A-line silhouette with crisp pleats that offer a flattering shape and movement. The striking red tartan pattern, interwoven with black and white lines, makes a bold statement. Made from a comfortable and durable fabric, it's perfect for all-day wear. It includes a concealed side zipper for a seamless look. Pair it with a chunky sweater and boots for a cozy autumn outfit or a simple blouse for a polished, preppy style.",https://storage.googleapis.com/<your-artifacts-bucket>/products/394855.png,"A women's pleated mini skirt with a red, black, and white plaid pattern on a white background."
192841,840344519286,Symmetrical Kaleidoscope Print Maxi Dress,Maison Onyx,Women,Apparel,Dress,Artisan Prints,Medium,Multi-Color,#0A2F4B,Polyester Spandex Blend,A-Line,52.5,110,135,"A stunning high-neck, long-sleeve maxi dress featuring a vibrant and intricate symmetrical kaleidoscope print. The A-line silhouette offers a flattering and comfortable fit for any occasion.","Make a bold and artistic statement with our Symmetrical Kaleidoscope Print Maxi Dress. This beautifully designed piece features a sophisticated high neckline and elegant long sleeves. The dress showcases a mesmerizing, symmetrical pattern rich in deep blues, vibrant greens, and golden yellows, reminiscent of intricate tile work. Crafted from a soft and stretchy polyester-spandex blend, it drapes beautifully in a flattering A-line cut that flows to the ankle. Perfect for gallery openings, special dinners, or any event where you want to stand out, this dress combines comfort with high-fashion artistry.",https://storage.googleapis.com/<your-artifacts-bucket>/products/192841.png,"Women's long sleeve high-neck maxi dress with a vibrant symmetrical geometric and paisley print in green, yellow, and blue."
598345,840345123456,Ditsy Floral Maxi Skirt,Aurum,Women,Apparel,Bottom,Spring Bloom Collection,Medium,Cream Multi Floral,#F5F5DC,Viscose,A-Line,32.5,64.99,78,"A flowy A-line maxi skirt featuring a delicate ditsy floral print on a soft cream background, perfect for warm weather.","Embrace effortless elegance with our Ditsy Floral Maxi Skirt. Crafted from lightweight, breathable viscose, this skirt drapes beautifully in a flattering A-line silhouette. The delicate pastel floral pattern adds a touch of romantic charm, making it perfect for sunny days, garden parties, or a casual brunch. It features a comfortable waistband and a full-length cut for a graceful, flowing movement with every step. Pair it with a simple camisole or a fitted tee for a timeless look.",https://storage.googleapis.com/<your-artifacts-bucket>/products/598345.png,Front view of a cream-colored A-line maxi skirt with a ditsy pastel floral print.
185932,850058932101,Black Satin Draped Midi Skirt,Aurum,Women,Apparel,Bottom,Evening Elegance,Medium,Black,#000000,Satin,A-Line,42.5,89.99,110,"An elegant black satin midi skirt featuring a sophisticated draped design and a flowing, asymmetrical hem.","Crafted from lustrous black satin, this midi skirt offers a touch of timeless elegance. The design features a flattering high-waist and an artfully gathered drape at the side, which flows into an asymmetrical wrap-style front. The A-line silhouette provides graceful movement, making it a perfect choice for special occasions, dinners, or creating a polished, chic look. Its versatile design pairs beautifully with both casual and formal tops.",https://storage.googleapis.com/<your-artifacts-bucket>/products/185932.png,Front view of a women's black satin midi skirt with an asymmetrical draped front and a flowing A-line silhouette.
238444,197865432109,Ditsy Floral A-Line Maxi Skirt,Aurum,Women,Apparel,Bottom,Spring Bloom 2024,Medium,Cream Multi Floral,#FDFBF2,Viscose,A-line,29.75,64.5,78,A breezy and elegant A-line maxi skirt adorned with a delicate ditsy floral print.,"Float through your day in our Ditsy Floral A-Line Maxi Skirt. Made from a lightweight and soft viscose fabric, this skirt offers beautiful movement and all-day comfort. The timeless A-line cut flatters your silhouette, while the charming all-over print of tiny blue and yellow blossoms on a cream background adds a touch of romantic, vintage-inspired style. Perfect for pairing with a simple tank top and sandals for an effortless warm-weather outfit.",https://storage.googleapis.com/<your-artifacts-bucket>/products/238444.png,Front view of a women's A-line maxi skirt in a cream color with a ditsy floral pattern of small blue and yellow flowers.
593844,840351892147,Women's Sporty Zip-Up Bodycon Dress,Neon & Co.,Women,Apparel,Dress,Athleisure,Medium,Royal Blue,#00539C,Polyester/Spandex Blend,Bodycon,28.5,59.99,75,"A sporty yet chic long-sleeve bodycon dress in a vibrant royal blue, featuring a full front zip and contrasting white piping for an athletic-inspired aesthetic.","Merge style and comfort with our Sporty Zip-Up Bodycon Dress. Designed for a modern, active lifestyle, this dress is crafted from a flexible polyester and spandex blend that contours to your body for a flattering, slim fit. It features a high mock neck, a full-length front zipper for versatile styling, and long sleeves. The design is elevated by crisp white piping along the raglan sleeves, adding a touch of athletic flair. Perfect for a casual day out or a stylish athleisure look, this dress is a versatile addition to any wardrobe.",https://storage.googleapis.com/<your-artifacts-bucket>/products/593844.png,"A women's long-sleeve, royal blue bodycon dress with a high collar, full front zipper, and white piping detail along the shoulders and sleeves."
634544,850024681357,Amalfi Long Sleeve Cut Out Mini Dress in White,Maison Onyx,Women,Apparel,Dress,Evening Edit,Medium,White,#FFFFFF,Ribbed Knit,Bodycon,25.5,59.99,75,"A stunning long-sleeve bodycon mini dress in a white ribbed knit, featuring a unique square neckline with a chic cut-out detail.","Turn heads in the Amalfi mini dress. Crafted from our premium ribbed knit fabric that hugs your curves, this dress features long sleeves, a bodycon fit, and a mini length. The standout detail is the modern square neckline, enhanced with a captivating cut-out at the chest. Perfect for date nights or evenings out with the girls, this dress combines sophistication with a touch of allure. The integrated waistband cinches your figure for the most flattering silhouette.",https://storage.googleapis.com/<your-artifacts-bucket>/products/634544.png,Front view of a white long-sleeve ribbed bodycon mini dress with a square neckline and chest cutout.
